"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
12,"60","RL",0.618829406702342,0.23998200592897,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor4","Norm","Norm","1Fam and TwnhsE","2Story","2.04076523809178","5",1.08153432589733,"1998~","Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","Mn or No","GLQ",0.976333617637906,"Unf",0,177,0.249680109170818,"GasA","Ex","Y","SBrkr",0.0661123620488749,1.35096679815815,0,1.73230966569062,"1","0","2 ~","No HalfBath","3 ~","1","Ex","8 ~","Typ","Yes Fireplaces","Gd","BuiltIn","2000 ~ ","Fin",3,"600 ~","TA","TA","Y",147,21,0,0,0,0,"No Pool","No Fence","None",0,7,2006,"New","Partial",1.74980274449556
14,"20","RL",0.867657585102676,0.0761574855658621,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","0.615605273325129","5",1.11283204377213,"1998~","Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av or Gd","Not GLQ",0,"Unf",0,1494,1.12164183904175,"GasA","Ex","Y","SBrkr",0.966058562481698,0,0,-0.00764566710603949,"0","0","2 ~","No HalfBath","3 ~","1","Gd","7","Typ","Yes Fireplaces","Gd","Attchd","2000 ~ ","RFn",3,"600 ~","TA","TA","Y",160,33,0,0,0,0,"No Pool","No Fence","None",0,8,2007,"New","Partial",1.25646098371109
16,"30 ~ 40","RMH",-0.791196937566215,-0.507531764658671,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor2","Norm","Norm","1Fam and TwnhsE","Foyer and .5","0.615605273325129","6~9",-1.29709223258791,"1998~","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil or Slab","TA","TA","Mn or No","Not GLQ",0,"Unf",0,832,-0.687883757116739,"GasA","Ex","Y","FuseA",-0.879984925585631,0,0,-1.3492979719131,"0","0","0 or 1","No HalfBath","0 ~ 2","1","TA","5","Typ","No Fireplaces","No Fireplace","Detchd","1980 ~ 2000","Unf",2,"300 ~ 600","TA","TA","Y",48,112,0,0,0,0,"No Pool","Yes Fence","None",0,7,2007,"WD","Normal",-0.535973567777793
18,"70 ~ 90","RL",0.0797016868349529,0.094059693372837,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","others","SLvl and 1Story","-1.52213467382485","5",-0.107778953345293,"1950~1997","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil or Slab","No Bsmt","No Bsmt","No Bsmt","No Bsmt",0,"No Bsmt",0,0,0,"GasA","Gd or TA","Y","SBrkr",0.394938858360868,0,0,-0.422719348905725,"0","0","2 ~","No HalfBath","0 ~ 2","2 ~","TA","6","Typ","No Fireplaces","No Fireplace","CarPort","1900 ~ 1980","Unf",2,"300 ~ 600","TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","Shed",500,10,2006,"WD","Normal",-1.47305118894872
19,"20","RL",-0.169126491565381,0.468074164390499,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","non-norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.809554691441521","5",1.05023660802252,"1998~","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","Mn or No","GLQ",0.0240199883444264,"Unf",0,468,0.0829413457785703,"GasA","Ex","Y","SBrkr",-0.130029758558279,0,0,-0.804251723085234,"1","0","0 or 1","Yes HalfBath","3 ~","1","Gd","6","Typ","No Fireplaces","No Fireplace","Detchd","2000 ~ ","Unf",2,"300 ~ 600","TA","TA","Y",0,102,0,0,0,0,"No Pool","No Fence","None",0,6,2008,"WD","Normal",-0.0861284061552181
20,"20","RL",-0.00324103929849165,-0.322070043492888,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.809554691441521","6~9",-0.389458414218545,"1950~1997","Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock or Stone or Wood","TA","TA","Mn or No","Not GLQ",-0.360151987109193,"Unf",0,525,-0.149399554030299,"GasA","Gd or TA","Y","SBrkr",0.518969905215391,0,0,-0.332577084676501,"0","0","0 or 1","No HalfBath","3 ~","1","TA","6","Min1","No Fireplaces","No Fireplace","Attchd","1900 ~ 1980","Unf",1,"0 ~ 300","TA","TA","Y",0,0,0,0,0,0,"No Pool","Yes Fence","None",0,5,2009,"COD","Abnorml",-0.410718487480255
21,"60","RL",1.2823712157699,0.535046452589254,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor4","Norm","Norm","1Fam and TwnhsE","2Story","1.32818525570845","5",1.08153432589733,"1998~","Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av or Gd","Not GLQ",0,"Unf",0,1158,0.203211929209044,"GasA","Ex","Y","SBrkr",-0.00311426875364991,1.64359735150496,0,1.8413189154562,"0","0","2 ~","Yes HalfBath","3 ~","1","Gd","8 ~","Typ","Yes Fireplaces","Gd","BuiltIn","2000 ~ ","RFn",3,"600 ~","TA","TA","Y",240,154,0,0,0,0,"No Pool","No Fence","None",0,11,2006,"New","Partial",1.6124432873021
22,"30 ~ 40","RMH",-0.542368759165881,-0.336366051166084,"Pave","Grvl","Reg","Bnk","AllPub","FR2 and Corner and Inside","Gtl","neighbor2","Norm","Norm","1Fam and TwnhsE","Foyer and .5","0.615605273325129","6~9",-1.26579451471311,"1950~1997","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","Mn or No","Not GLQ",0,"Unf",0,637,-1.22090111550179,"GasA","Ex","Y","FuseF",-0.14733641625891,0,0,-0.816829713442801,"0","0","0 or 1","No HalfBath","3 ~","1","Gd","6","Typ","Yes Fireplaces","Gd","Attchd","1900 ~ 1980","Unf",1,"0 ~ 300","TA","TA","Partial or Not",0,0,205,0,0,0,"No Pool","Yes Fence","None",0,6,2007,"WD","Normal",-0.403760875942773
23,"20","RL",0.20411577603512,-0.041044018781959,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","1.32818525570845","5",0.98764117227291,"1998~","Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","Mn or No","Not GLQ",0,"Unf",0,1777,1.89520036428775,"GasA","Ex","Y","SBrkr",1.83427589046336,0,0,0.623350182498533,"0","0","2 ~","No HalfBath","3 ~","1","Gd","7","Typ","Yes Fireplaces","Gd","Attchd","2000 ~ ","RFn",2,"300 ~ 600","TA","TA","Y",171,159,0,0,0,0,"No Pool","No Fence","None",0,9,2008,"WD","Normal",0.79601269779867
24,"120","RMH",-1.08149647903327,-0.751723030860285,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor2","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.809554691441521","6~9",0.173900507527959,"1950~1997","Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","Mn or No","GLQ",0.548874659034583,"Unf",0,200,-0.119331908172681,"GasA","Gd or TA","Y","SBrkr",-0.28578967786396,0,0,-0.917453636303331,"1","0","0 or 1","No HalfBath","3 ~","1","TA","6","Typ","Yes Fireplaces","TA","Attchd","1900 ~ 1980","Unf",2,"300 ~ 600","TA","TA","Y",100,110,0,0,0,0,"No Pool","No Fence","None",0,6,2007,"WD","Normal",-0.574903700516595
26,"20","RL",1.6556134833704,0.536978345518064,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor4","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","1.32818525570845","5",1.14412976164694,"1998~","Gable","CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","Mn or No","Not GLQ",0,"Unf",0,1566,1.31844824829162,"GasA","Ex","Y","SBrkr",1.27180951519285,0,0,0.214565495877631,"0","0","2 ~","No HalfBath","3 ~","1","Gd","7","Typ","Yes Fireplaces","Gd","Attchd","2000 ~ ","RFn",3,"600 ~","TA","TA","Y",0,56,0,0,0,0,"No Pool","No Fence","None",0,7,2009,"WD","Normal",1.05221224316938
27,"20","RL",-0.417954669965714,-0.368435473784334,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.809554691441521","6~9",-0.608542439342185,"1998~","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock or Stone or Wood","TA","TA","Mn or No","Not GLQ",-1.09061982776044,"Rec",486,180,-0.502011037269643,"GasA","Gd or TA","Y","SBrkr",-0.747300549880792,0,0,-1.2528667125051,"0","1","0 or 1","No HalfBath","3 ~","1","Gd","5","Typ","No Fireplaces","No Fireplace","Detchd","2000 ~ ","Unf",2,"300 ~ 600","TA","TA","Y",222,32,0,0,0,0,"No Pool","No Fence","None",0,5,2010,"WD","Normal",-0.48505923946107
28,"20","RL",1.15795712656973,0.182540389512346,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor4","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","1.32818525570845","5",1.14412976164694,"1998~","Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","Mn or No","GLQ",1.57152963594633,"Unf",0,486,1.6956605326872,"GasA","Ex","Y","SBrkr",1.57179158200379,0,0,0.432583995408779,"1","0","2 ~","No HalfBath","3 ~","1","Gd","7","Typ","Yes Fireplaces","Gd","Attchd","2000 ~ ","RFn",3,"600 ~","TA","TA","Y",0,50,0,0,0,0,"No Pool","No Fence","None",0,5,2010,"WD","Normal",1.46921804223428
29,"20","RL",-0.957082389833104,0.806284219794211,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","CulDSac","Gtl","neighbor3","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.809554691441521","6~9",-0.42075613209335,"1950~1997","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock or Stone or Wood","TA","TA","Av or Gd","Not GLQ",1.73115038631086,"Unf",0,207,1.09430761553483,"GasA","Gd or TA","Y","SBrkr",1.27180951519285,0,0,0.214565495877631,"1","0","0 or 1","No HalfBath","0 ~ 2","1","TA","6","Typ","Yes Fireplaces","Gd","Attchd","1900 ~ 1980","RFn",1,"300 ~ 600","TA","TA","Y",288,258,0,0,0,0,"No Pool","No Fence","None",0,12,2006,"WD","Normal",0.551361154685689
31,"70 ~ 90","C (all)",-0.832668300632937,-0.201004753287447,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor2","non-norm","Norm","1Fam and TwnhsE","2Story","-1.52213467382485","2~4",-1.57877169346116,"1950~1997","Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil or Slab","TA","TA","Mn or No","Not GLQ",0,"Unf",0,649,-1.18810004729348,"GasA","Gd or TA","N","SBrkr",-1.4712957303572,-0.474123758241693,0,-0.378696382654243,"0","0","0 or 1","No HalfBath","3 ~","1","TA","6","Typ","No Fireplaces","No Fireplace","Detchd","1900 ~ 1980","Unf",1,"0 ~ 300","TA","Fa","Partial or Not",0,54,172,0,0,0,"No Pool","Yes Fence","None",0,7,2008,"WD","Normal",-3.51057014521833
33,"20","RL",0.618829406702342,0.127288251748373,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","1.32818525570845","5",1.14412976164694,"1998~","Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av or Gd","Not GLQ",0,"Unf",0,1234,0.410952027861681,"GasA","Ex","Y","SBrkr",0.216103395454345,0,0,-0.55269191593391,"0","0","2 ~","No HalfBath","3 ~","1","Gd","7","Typ","No Fireplaces","No Fireplace","Attchd","2000 ~ ","RFn",2,"300 ~ 600","TA","TA","Y",0,30,0,0,0,0,"No Pool","No Fence","None",0,1,2008,"WD","Normal",0.210460764520047
34,"20","RL",-0.00324103929849165,0.0632781993737938,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.809554691441521","5",-0.358160696343739,"1950~1997","Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock or Stone or Wood","TA","TA","Mn or No","Not GLQ",1.03044234657504,"Unf",0,380,0.859233293375265,"GasA","Gd or TA","Y","SBrkr",1.56025381020337,0,0,0.424198668503735,"0","1","0 or 1","Yes HalfBath","3 ~","1","Gd","6","Typ","Yes Fireplaces","Gd","Attchd","1900 ~ 1980","RFn",2,"300 ~ 600","TA","TA","Y",0,38,0,0,0,0,"No Pool","No Fence","None",0,4,2010,"WD","Normal",0.0102630014091064
35,"120","RL",-0.417954669965714,-0.353881880387297,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor4","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","2.04076523809178","5",1.08153432589733,"1998~","Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","Mn or No","GLQ",1.39567626690066,"Unf",0,408,1.30478113653816,"GasA","Ex","Y","SBrkr",1.15931624013875,0,0,0.13280855855345,"1","0","2 ~","No HalfBath","0 ~ 2","1","Ex","6","Typ","Yes Fireplaces","Gd","Attchd","2000 ~ ","Fin",2,"300 ~ 600","TA","TA","Y",203,47,0,0,0,0,"No Pool","No Fence","None",0,8,2007,"WD","Normal",1.2395608881368
36,"60","RL",1.57267075723695,0.43239854163847,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor4","Norm","Norm","1Fam and TwnhsE","2Story","1.32818525570845","5",1.05023660802252,"1998~","Gable","CompShg","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av or Gd","Not GLQ",0,"Unf",0,1117,0.0911416128306481,"GasA","Ex","Y","SBrkr",-0.0781097854563851,2.03633835731252,0,2.00064012665204,"0","0","2 ~","Yes HalfBath","3 ~","1","Gd","8 ~","Typ","Yes Fireplaces","Gd","BuiltIn","2000 ~ ","Fin",3,"600 ~","TA","TA","Y",113,32,0,0,0,0,"No Pool","No Fence","None",0,9,2006,"WD","Normal",1.49208736067053
37,"20","RL",1.73855620950384,0.102817607983443,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.809554691441521","5",0.737259429274464,"1950~1997","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Mn or No","Not GLQ",0,"Unf",0,1097,0.0364731658167964,"GasA","Ex","Y","SBrkr",-0.179065288710067,0,0,-0.839889362431672,"0","0","0 or 1","Yes HalfBath","3 ~","1","TA","6","Typ","No Fireplaces","No Fireplace","Attchd","1980 ~ 2000","Unf",2,"600 ~","TA","TA","Y",392,64,0,0,0,0,"No Pool","No Fence","None",0,6,2009,"WD","Normal",-0.308481966206969
38,"20","RL",0.162644412968397,-0.196883381705985,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.809554691441521","6~9",-0.514649285717768,"1950~1997","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock or Stone or Wood","TA","TA","Mn or No","Not GLQ",1.55800245371205,"Unf",0,84,0.583157635955313,"GasA","Gd or TA","Y","SBrkr",0.397823301310973,0,0,-0.420623017179464,"0","1","0 or 1","No HalfBath","3 ~","1","TA","5","Typ","Yes Fireplaces","TA","Attchd","1900 ~ 1980","Fin",2,"300 ~ 600","TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","None",0,10,2009,"WD","Normal",-0.178820710389948
39,"20","RL",-0.0861837654319362,-0.275447027477601,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.809554691441521","6~9",-0.545947003592574,"1998~","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock or Stone or Wood","TA","TA","Mn or No","GLQ",0.253982086327227,"Unf",0,326,-0.072863728210907,"GasA","Gd or TA","Y","SBrkr",-0.294443006714275,0,0,-0.923742631482114,"1","0","0 or 1","No HalfBath","3 ~","1","Gd","5","Typ","No Fireplaces","No Fireplace","Detchd","1900 ~ 1980","Unf",1,"0 ~ 300","TA","TA","Y",0,52,0,0,0,0,"No Pool","No Fence","None",0,1,2010,"WD","Abnorml",-1.00247546092683
